age,bmi,km5_time_seconds,km10_time_seconds,sex
25.0,21.6221160888672,NA,2798,female
41.0,23.905969619751,1210.0,NA,male
25.0,21.6407279968262,994.0,NA,male
35.0,23.5923233032227,1075.0,2135,male
34.0,22.7064037322998,1186.0,NA,male
45.0,42.0875434875488,3240.0,NA,female
33.0,22.5182952880859,1292.0,NA,male
58.0,25.2340793609619,NA,3420,male
29.0,24.505407333374,1440.0,3240,male
36.0,25.4086151123047,2115.0,4210,female
54.0,26.4016876220703,1560.0,3360,male
38.0,25.5603122711182,NA,2580,male
39.0,24.9748363494873,1222.0,NA,male
29.0,25.9515552520752,NA,3720,male
23.0,20.8698558807373,1690.0,NA,female
38.0,24.5510673522949,NA,2730,male
20.0,22.9047832489014,893.0,NA,male
33.0,27.9772758483887,1625.0,3978,male
53.0,23.16774559021,1050.0,NA,male
27.0,25.2477855682373,2412.0,4320,male
32.0,29.2184066772461,NA,2588,male
34.0,23.5825710296631,1603.0,NA,female
44.0,20.035062789917,1457.0,NA,female
36.0,23.906888961792,1160.0,2430,male
53.0,21.5213356018066,1166.0,NA,male
33.0,28.8543033599854,1571.0,3256,male
40.0,19.6602687835693,1753.0,NA,female
34.0,25.9688739776611,NA,3395,male
39.0,29.7373733520508,1256.0,NA,male
43.0,23.3717136383057,1255.0,2655,male
32.0,24.2882499694824,1060.0,NA,male
32.0,29.2177982330322,1572.0,NA,female
41.0,22.3776226043701,1558.0,NA,female
24.0,21.7049369812012,NA,2625,female
35.0,30.0525932312012,2575.0,NA,female
47.0,24.5510673522949,NA,3103,male
26.0,19.6234531402588,1240.0,2660,female
33.0,24.301830291748,1341.0,2826,male
37.0,24.3252830505371,2012.0,4042,female
38.0,24.3787326812744,NA,3283,female
42.0,25.103099822998,1338.0,2632,male
58.0,26.4293766021729,1330.0,NA,male
33.0,21.757640838623,1323.0,2727,female
36.0,25.2477855682373,1451.0,NA,male
30.0,24.4410057067871,NA,2340,male
36.0,24.5510673522949,1316.0,NA,male
33.0,22.5182952880859,1e3,NA,male
48.0,28.0583629608154,1632.0,NA,male
30.0,26.6335220336914,1955.0,NA,female
23.0,22.0195026397705,900.0,NA,male
27.0,23.3742389678955,1568.0,3475,female
38.0,25.2047882080078,1185.0,2497,male
59.0,27.2142944335938,NA,3321,male
31.0,27.3800621032715,1943.0,NA,female
26.0,25.2525253295898,1582.0,NA,female
52.0,23.804801940918,1309.0,NA,male
33.0,28.2003726959229,NA,4526,female
24.0,25.6533584594727,1872.0,NA,female
44.0,26.9886360168457,1892.0,NA,female
27.0,20.7741470336914,1142.0,NA,female
47.0,25.2475166320801,1050.0,NA,male
31.0,18.3238258361816,NA,3333,female
59.0,24.7866401672363,1477.0,NA,male
30.0,24.0989780426025,1448.0,NA,female
34.0,20.9132442474365,1277.0,NA,female
41.0,22.9134426116943,1378.0,NA,female
28.0,20.9132442474365,1163.0,NA,female
31.0,22.5384044647217,1147.0,NA,male
35.0,23.2383003234863,1567.0,NA,female
40.0,21.6221160888672,1380.0,3120,female
45.0,21.8716468811035,1708.0,3729,female
32.0,22.8437213897705,1435.0,NA,male
25.0,22.9134426116943,1380.0,NA,male
31.0,24.526159286499,NA,2375,male
32.0,22.6817073822021,1620.0,NA,female
25.0,24.9596538543701,1478.0,NA,female
32.0,21.5213356018066,NA,2945,male
17.0,22.2634506225586,NA,1813,male
33.0,21.7046508789062,NA,3360,female
30.0,18.3238258361816,1680.0,NA,female
28.0,19.9275016784668,1105.0,2365,female
56.0,20.5755500793457,1080.0,2261,male
30.0,24.2424240112305,1116.0,NA,female
28.0,22.19460105896,1401.0,2892,female
43.0,25.2477855682373,1490.0,3242,male
64.0,27.4582576751709,1590.0,3568,male
32.0,24.7371654510498,2100.0,NA,female
26.0,19.8656711578369,1026.0,NA,female
25.0,22.9134426116943,1324.0,NA,male
37.0,25.2319107055664,1305.0,2925,male
24.0,24.9350662231445,1080.0,NA,male
36.0,24.3413734436035,NA,2420,male
34.0,25.2319107055664,1382.0,NA,male
34.0,23.0823860168457,1315.0,NA,female
34.0,27.5171890258789,1275.0,2946,male
40.0,28.4444446563721,1139.0,NA,male
38.0,23.3742389678955,NA,3045,female
38.0,25.3668899536133,1662.0,NA,male
27.0,22.8437213897705,1457.0,NA,female
33.0,22.7218933105469,NA,3325,female
37.0,23.849609375,1213.0,NA,male
29.0,20.6060600280762,NA,2700,female
20.0,21.3858814239502,918.0,NA,male
27.0,24.8579540252686,1434.0,NA,female
45.0,27.2180500030518,1148.0,NA,male
33.0,21.3521862030029,NA,2820,male
27.0,32.0715103149414,1574.0,3290,male
32.0,20.1036891937256,1530.0,NA,female
33.0,26.6666660308838,1652.0,NA,female
35.0,23.0055656433105,1049.0,2162,male
60.0,22.4466896057129,NA,2541,male
41.0,21.3858814239502,1038.0,NA,male
29.0,18.6314029693604,1210.0,NA,female
38.0,20.4533176422119,1337.0,NA,female
31.0,24.3787326812744,1197.0,NA,male
36.0,21.929271697998,1292.0,NA,male
25.0,22.8675670623779,959.0,1987,male
34.0,20.6220989227295,1106.0,NA,male
34.0,20.1980133056641,1160.0,NA,male
44.0,25.9688739776611,1692.0,NA,female
35.0,26.0309448242188,1707.0,NA,male
65.0,24.5654125213623,NA,3787,male
38.0,26.9787750244141,1395.0,NA,male
29.0,26.6335220336914,1865.0,3720,female
55.0,25.1118907928467,1319.0,NA,male
30.0,23.7476806640625,954.0,NA,male
32.0,21.2330913543701,1383.0,3026,female
36.0,22.607931137085,1031.0,NA,male
29.0,27.1974182128906,1660.0,NA,female
36.0,22.8571434020996,NA,2199,male
56.0,24.4897956848145,NA,3096,male
31.0,24.5955924987793,1769.0,NA,female
31.0,25.5287570953369,NA,2880,male
27.0,20.202018737793,NA,2700,female
27.0,25.1118907928467,1300.0,NA,male
